school_year,level,division_name,economically_disadvantaged_students,total_students,percent_disadvantaged
2004-2005,Division,Albemarle County,2315,12433,18.619802139467545
2004-2005,Division,Charlottesville City,2142,4383,48.870636550308014
2005-2006,Division,Albemarle County,2268,12779,17.747867595273494
2005-2006,Division,Charlottesville City,2261,4331,52.20503347956592
2006-2007,Division,Albemarle County,2362,12747,18.529850160822154
2006-2007,Division,Charlottesville City,2185,4226,51.703738760056794
2007-2008,Division,Albemarle County,2550,12802,19.918762693329167
2007-2008,Division,Charlottesville City,2144,4081,52.53614310218085
2008-2009,Division,Albemarle County,2772,12827,21.610665003508224
2008-2009,Division,Charlottesville City,2125,4059,52.35279625523528
2009-2010,Division,Albemarle County,3132,13045,24.009198926791875
2009-2010,Division,Charlottesville City,2169,4014,54.035874439461885
2010-2011,Division,Albemarle County,3550,13221,26.851221541487032
2010-2011,Division,Charlottesville City,2140,4030,53.101736972704714
2011-2012,Division,Albemarle County,3581,13113,27.308777548997178
2011-2012,Division,Charlottesville City,2210,4175,52.93413173652694
2012-2013,Division,Albemarle County,3574,13277,26.918731641184003
2012-2013,Division,Charlottesville City,2239,4236,52.85646836638338
2013-2014,Division,Albemarle County,3780,13432,28.141751042287076
2013-2014,Division,Charlottesville City,2240,4340,51.61290322580645
2014-2015,Division,Albemarle County,3883,13689,28.365841186354007
2014-2015,Division,Charlottesville City,2497,4356,57.32323232323232
2015-2016,Division,Albemarle County,3961,13772,28.761254719721173
2015-2016,Division,Charlottesville City,2545,4382,58.078502966681874
2016-2017,Division,Albemarle County,3958,13818,28.6437979447098
2016-2017,Division,Charlottesville City,2563,4478,57.23537293434568
2017-2018,Division,Albemarle County,4223,13937,30.30063858793141
2017-2018,Division,Charlottesville City,2517,4529,55.57518215941709
2018-2019,Division,Albemarle County,4126,14013,29.444087632912296
2018-2019,Division,Charlottesville City,2011,4561,44.091208068406054
2019-2020,Division,Albemarle County,4247,14435,29.42154485625216
2019-2020,Division,Charlottesville City,1983,4544,43.63996478873239
2020-2021,Division,Albemarle County,4287,13532,31.680461129175285
2020-2021,Division,Charlottesville City,1953,4258,45.86660403945515
2021-2022,Division,Albemarle County,3783,13749,27.51472834387956
2021-2022,Division,Charlottesville City,2005,4290,46.73659673659674
2022-2023,Division,Albemarle County,4333,13970,31.01646385110952
2022-2023,Division,Charlottesville City,2404,4491,53.5292807837898
2004-2005,State,Virginia,351631,1204040,29.204262316866547
2005-2006,State,Virginia,358501,1214124,29.52754413881943
2006-2007,State,Virginia,350167,1220824,28.682840442193143
2007-2008,State,Virginia,366918,1231306,29.799091371275704
2008-2009,State,Virginia,398963,1235498,32.29167509781481
2009-2010,State,Virginia,410322,1245036,32.95663739843667
2010-2011,State,Virginia,445303,1252266,35.55977723582689
2011-2012,State,Virginia,466011,1258896,37.01743432340718
2012-2013,State,Virginia,482159,1265277,38.10699159156454
2013-2014,State,Virginia,510082,1273532,40.05254677542457
2014-2015,State,Virginia,512550,1280370,40.03139717425432
2015-2016,State,Virginia,499950,1284114,38.93345917885795
2016-2017,State,Virginia,488524,1288033,37.92791023211362
2017-2018,State,Virginia,530219,1292706,41.01620940879055
2018-2019,State,Virginia,520647,1290513,40.34418870635166
2019-2020,State,Virginia,517375,1298083,39.85685044792975
2020-2021,State,Virginia,511602,1252752,40.83825050768229
2021-2022,State,Virginia,513037,1251970,40.978378076151984
2022-2023,State,Virginia,556480,1263342,44.04824663471965
2023-2024,Division,Albemarle County,4197,13835,30.33610408384532
2023-2024,Division,Charlottesville City,2805,4444,63.11881188118812
2023-2024,State,Virginia,548381,1262011,43.45294930075887
2024-2025,Division,Albemarle County,3907,14173,27.566499682494882
2024-2025,Division,Charlottesville City,2328,4443,52.397029034436194
2024-2025,State,Virginia,538240,1261387,42.670488914187324
2025-2026,Division,Albemarle County,3778,14062,26.866733039396955
2025-2026,Division,Charlottesville City,1823,4361,41.80233891309333
2025-2026,State,Virginia,479366,1246285,38.46359380077591
